request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_264,29010.50,affordable_later,wait,2026-06-15:111300,2026-06-15,none,"Wait until 2026-06-15, then pay INR 111300 in full. Paying earlier would put the INR 59500 minimum at risk."
request_265,45970,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,Pay INR 45970 today. This leaves at least INR 189700 available over the next 90 days.
request_266,935,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-08-03,none,"Use 3 installments of EUR 324.13, starting 2025-08-03. This leaves at least EUR 1226.20 available."
request_267,1617.17,not_affordable,not_recommended,none,2026-02-15,none,Do not make this payment by 2026-03-17. None of the available options keeps the EUR 1500 minimum protected.
request_268,1046.91,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,"Use 3 installments of EUR 841.22, starting 2024-06-14. This leaves at least EUR 1605.69 available."
request_269,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-01-02. None of the available options keeps the ZAR 23100 minimum protected.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Pay ZAR 6670 today. This leaves at least ZAR 20500 available over the next 90 days.
request_270,37.32,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-08-30. None of the available options keeps the USD 1400 minimum protected.
request_271,45275.36,affordable_later,wait,2024-11-15:91300,2024-11-15,none,"Wait until 2024-11-15, then pay INR 91300 in full. Paying earlier would put the INR 58200 minimum at risk."
request_272,6398742.31,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-15,none,"Use 3 installments of IDR 4709466.67, starting 2025-02-12. This leaves at least IDR 9197875.65 available."
request_273,9553277.24,affordable_with_plan,partial_payment,2026-04-07:9553277.24|2026-04-15:6307722.76,2026-04-15,none,"Pay IDR 9553277.24 today, then IDR 6307722.76 on 2026-04-15. The balance stays above IDR 18774600."
request_274,2049.75,not_affordable,not_recommended,none,2025-02-15,none,Do not make this payment by 2025-02-11. None of the available options keeps the EUR 1800 minimum protected.
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,Pay IDR 15884000 today. This leaves at least IDR 12760100 available over the next 90 days.
request_28,321.35,affordable_later,wait,2024-08-15:1302.40,2024-08-15,none,"Wait until 2024-08-15, then pay EUR 1302.40 in full. Paying earlier would put the EUR 1100 minimum at risk."
request_29,51524,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,Pay ZAR 51524 today. This leaves at least ZAR 28300 available over the next 90 days.
request_30,775.20,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 2026-04-06. This leaves at least USD 1681.69 available."
request_31,9308470.67,affordable_later,wait,2024-10-15:18164000,2024-10-15,none,"Wait until 2024-10-15, then pay IDR 18164000 in full. Paying earlier would put the IDR 16588900 minimum at risk."
request_32,16745.41,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-04-15. None of the available options keeps the ZAR 35700 minimum protected.
request_33,36297.49,affordable_later,wait,2026-03-15:118000,2026-03-15,none,"Wait until 2026-03-15, then pay INR 118000 in full. Paying earlier would put the INR 102100 minimum at risk."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Pay INR 129400 today. This leaves at least INR 138500 available over the next 90 days.
request_35,28723.65,affordable_later,wait,2026-01-15:212000,2026-01-15,none,"Wait until 2026-01-15, then pay INR 212000 in full. Paying earlier would put the INR 106400 minimum at risk."
request_36,581.33,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-09-15. None of the available options keeps the USD 2400 minimum protected.
request_37,4417999.26,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-05-15. None of the available options keeps the IDR 17056200 minimum protected.
request_38,222.49,affordable_later,wait,2025-10-15:971.30,2025-10-15,none,"Wait until 2025-10-15, then pay EUR 971.30 in full. Paying earlier would put the EUR 400 minimum at risk."
request_39,126939.37,affordable_later,wait,2026-06-15:208600,2026-06-15,none,"Wait until 2026-06-15, then pay INR 208600 in full. Paying earlier would put the INR 213400 minimum at risk."
request_40,513.17,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-08-15. None of the available options keeps the EUR 1500 minimum protected.
request_41,9979519.67,affordable_later,wait,2026-01-15:38760000,2026-01-15,none,"Wait until 2026-01-15, then pay IDR 38760000 in full. Paying earlier would put the IDR 25366600 minimum at risk."
request_42,2738.58,affordable_later,wait,2026-03-20:52100,2026-03-20,none,"Wait until 2026-03-20, then pay INR 52100 in full. Paying earlier would put the INR 113100 minimum at risk."
request_43,10024687.93,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,"Wait until 2024-11-15, then pay IDR 43339000 in full. Paying earlier would put the IDR 21398000 minimum at risk."
request_44,38633.73,affordable_later,wait,2025-04-15:95800,2025-04-15,none,"Wait until 2025-04-15, then pay INR 95800 in full. Paying earlier would put the INR 82900 minimum at risk."
request_45,4489464.13,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-09-15. None of the available options keeps the IDR 11149800 minimum protected.
request_46,38439.31,affordable_with_plan,partial_payment,2024-12-03:38439.31|2024-12-15:11010.69,2024-12-15,none,"Pay INR 38439.31 today, then INR 11010.69 on 2024-12-15. The balance stays above INR 84000."
request_47,24796836.05,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-06-19. None of the available options keeps the IDR 30049000 minimum protected.
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,Pay INR 45700 today. This leaves at least INR 71300 available over the next 90 days.
request_49,13906219.37,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-04-15,none,"Use 3 installments of IDR 11902106.67, starting 2024-03-18. This leaves at least IDR 34181919.38 available."
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,Pay INR 43900 today. This leaves at least INR 99700 available over the next 90 days.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Pay IDR 2191000 today. This leaves at least IDR 7811000 available over the next 90 days.
request_52,23855.29,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Wait until 2024-06-15, then pay INR 28870 in full. Paying earlier would put the INR 41500 minimum at risk."
request_53,634.17,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,none,"Use 3 installments of USD 589.06, starting 2025-11-21. This leaves at least USD 2293.40 available."
request_54,3795.32,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-08-21. None of the available options keeps the ZAR 37000 minimum protected.
request_55,137983.75,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-07-15,none,"Use 3 installments of INR 75781.33, starting 2026-06-11. This leaves at least INR 128949.92 available."
request_56,635.69,affordable_with_plan,partial_payment,2025-02-03:635.69|2025-02-15:245.87,2025-02-15,none,"Pay USD 635.69 today, then USD 245.87 on 2025-02-15. The balance stays above USD 2100."
request_57,15956.76,affordable_later,wait,2026-06-15:61446,2026-06-15,none,"Wait until 2026-06-15, then pay ZAR 61446 in full. Paying earlier would put the ZAR 42700 minimum at risk."
request_58,14151834.40,affordable_with_plan,full_payment,2024-12-07:16226000,2025-02-20,stop:event_5358,Pay IDR 16226000 today. This leaves at least IDR 14433900 available over the next 90 days.
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48741.33, starting 2025-05-07. This leaves at least INR 264453.62 available."
request_60,149.44,affordable_later,wait,2026-01-15:199.89,2026-01-15,none,"Wait until 2026-01-15, then pay USD 199.89 in full. Paying earlier would put the USD 400 minimum at risk."
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10074.83, starting 2024-03-17. This leaves at least ZAR 133318.08 available."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Pay USD 404.23 today. This leaves at least USD 1300 available over the next 90 days.
request_63,41401.62,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-09-17. None of the available options keeps the INR 153500 minimum protected.
request_64,47011.35,not_affordable,not_recommended,none,2024-08-15,none,Do not make this payment by 2024-08-16. None of the available options keeps the INR 36100 minimum protected.
request_65,7757.70,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-11-25. None of the available options keeps the ZAR 15500 minimum protected.
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Pay INR 22200 today. This leaves at least INR 80700 available over the next 90 days.
request_67,358.73,affordable_later,wait,2024-11-15:2094,2024-11-15,none,"Wait until 2024-11-15, then pay USD 2094 in full. Paying earlier would put the USD 1200 minimum at risk."
request_68,1447.64,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-15,none,"Use 3 installments of USD 725.09, starting 2025-02-14. This leaves at least USD 1702.84 available."
request_69,529.10,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Pay EUR 529.10 today. This leaves at least EUR 700 available over the next 90 days.
request_70,50373.61,affordable_later,wait,2025-02-15:243900,2025-02-15,none,"Wait until 2025-02-15, then pay INR 243900 in full. Paying earlier would put the INR 115000 minimum at risk."
request_71,361141.62,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-05-28. None of the available options keeps the IDR 8884800 minimum protected.
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,Pay ZAR 11330 today. This leaves at least ZAR 12200 available over the next 90 days.
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,Pay INR 71400 today. This leaves at least INR 103200 available over the next 90 days.
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Pay ZAR 5010 today. This leaves at least ZAR 21900 available over the next 90 days.
request_75,28270,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Use 3 installments of ZAR 9800.27, starting 2026-04-09. This leaves at least ZAR 129397.83 available."
request_76,323,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-07-30. None of the available options keeps the USD 1800 minimum protected.
request_77,60700,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,Pay INR 60700 today. This leaves at least INR 82200 available over the next 90 days.
request_78,42608.97,affordable_later,wait,2025-11-15:50200,2025-11-15,none,"Wait until 2025-11-15, then pay INR 50200 in full. Paying earlier would put the INR 55200 minimum at risk."
request_79,642.90,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-11-01. None of the available options keeps the EUR 1000 minimum protected.
request_80,21930.37,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-02-21. None of the available options keeps the INR 121300 minimum protected.
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,Pay USD 2076 today. This leaves at least USD 1600 available over the next 90 days.
request_82,352.87,affordable_later,wait,2025-02-15:1405.20,2025-02-15,none,"Wait until 2025-02-15, then pay USD 1405.20 in full. Paying earlier would put the USD 1100 minimum at risk."
request_83,8022.86,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-06-17. None of the available options keeps the INR 37800 minimum protected.
request_84,33859.29,affordable_later,wait,2026-06-15:95400,2026-06-15,none,"Wait until 2026-06-15, then pay INR 95400 in full. Paying earlier would put the INR 91300 minimum at risk."
request_85,796457.06,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-04-26. None of the available options keeps the IDR 6396300 minimum protected.
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,Pay INR 46300 today. This leaves at least INR 84900 available over the next 90 days.
request_87,5403.62,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-03-15. None of the available options keeps the INR 185900 minimum protected.
request_88,10734,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-15,none,"Use 3 installments of ZAR 9045.23, starting 2024-06-14. This leaves at least ZAR 27488.77 available."
request_89,9324615.66,not_affordable,not_recommended,none,2026-01-15,none,Do not make this payment by 2026-01-15. None of the available options keeps the IDR 12534700 minimum protected.
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,Pay ZAR 2560 today. This leaves at least ZAR 7600 available over the next 90 days.
request_91,1272.21,affordable_later,wait,2024-11-15:1927.20,2024-11-15,none,"Wait until 2024-11-15, then pay EUR 1927.20 in full. Paying earlier would put the EUR 2100 minimum at risk."
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,Pay ZAR 34034 today. This leaves at least ZAR 28100 available over the next 90 days.
request_93,1729.20,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,Pay USD 1729.20 today. This leaves at least USD 1900 available over the next 90 days.
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 today. This leaves at least EUR 600 available over the next 90 days.
request_95,54635.67,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-07-14. None of the available options keeps the INR 145500 minimum protected.
request_96,72506.46,not_affordable,not_recommended,none,2026-02-15,none,Do not make this payment by 2026-03-12. None of the available options keeps the INR 56500 minimum protected.
request_97,1454.36,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"Use 3 installments of ZAR 8145.28, starting 2024-03-19. This leaves at least ZAR 31154.36 available."
request_98,9975.08,affordable_later,wait,2025-10-15:27148,2025-10-15,none,"Wait until 2025-10-15, then pay ZAR 27148 in full. Paying earlier would put the ZAR 30000 minimum at risk."
request_99,14927.82,affordable_later,wait,2026-07-15:18062,2026-07-15,none,"Wait until 2026-07-15, then pay ZAR 18062 in full. Paying earlier would put the ZAR 49100 minimum at risk."
