payment_option_id,request_id,payment_method,payment_amount,number_of_payments,first_payment_date,payment_frequency_days,financing_fee,total_payable_amount
payment_option_372,request_131,installments,643.14,3,2025-05-06,28,74.22,1929.42
payment_option_373,request_131,full_payment,1855.2,1,2025-05-03,,0,1855.2
payment_option_374,request_131,installments,136.05,15,2025-05-10,30,185.55,2040.75
payment_option_375,request_132,full_payment,379.86,1,2026-01-05,,0,379.86
payment_option_376,request_132,installments,21.85,18,2026-01-19,31,13.44,393.3
payment_option_377,request_132,installments,16.62,24,2026-01-08,30,19.02,398.88
payment_option_378,request_133,full_payment,15770000,1,2024-03-07,,0,15770000
payment_option_379,request_133,installments,886123.81,21,2024-03-07,28,2838600.01,18608600.01
payment_option_380,request_134,full_payment,21831000,1,2025-08-04,,0,21831000
payment_option_381,request_134,installments,1600940,15,2025-08-07,30,2183100,24014100
payment_option_382,request_134,installments,1109742.5,24,2025-08-18,28,4802820,26633820
payment_option_383,request_135,full_payment,304.8,1,2026-07-06,,0,304.8
payment_option_384,request_135,installments,19.3,18,2026-07-13,31,42.6,347.4
payment_option_385,request_135,installments,54.86,6,2026-07-20,28,24.36,329.16
payment_option_386,request_136,full_payment,560.4,1,2024-06-03,,0,560.4
payment_option_387,request_136,installments,31.49,21,2024-06-17,28,100.89,661.29
payment_option_388,request_136,installments,100.87,6,2024-06-03,30,44.82,605.22
payment_option_389,request_136,installments,28.49,24,2024-06-06,31,123.36,683.76
payment_option_390,request_137,full_payment,80100,1,2025-11-05,,0,80100
payment_option_391,request_137,installments,5874,15,2025-11-05,30,8010,88110
payment_option_392,request_138,full_payment,1256.94,1,2026-04-07,,0,1256.94
payment_option_393,request_138,installments,435.74,3,2026-04-07,28,50.28,1307.22
payment_option_394,request_138,installments,333.09,4,2026-04-12,30,75.42,1332.36
payment_option_395,request_139,installments,802.88,3,2024-09-07,31,92.64,2408.64
payment_option_396,request_139,full_payment,2316,1,2024-09-04,,0,2316
payment_option_397,request_139,installments,130.14,21,2024-09-11,28,416.94,2732.94
payment_option_398,request_140,full_payment,62832,1,2025-02-06,,0,62832
payment_option_399,request_140,installments,4607.68,15,2025-02-20,30,6283.2,69115.2
payment_option_400,request_140,installments,3193.96,24,2025-02-09,28,13823.04,76655.04
payment_option_401,request_141,full_payment,171600,1,2026-01-03,,0,171600
payment_option_402,request_141,installments,10868,18,2026-01-03,31,24024,195624
payment_option_403,request_142,full_payment,1263.6,1,2024-12-05,,0,1263.6
payment_option_404,request_142,installments,71,21,2024-12-08,28,227.4,1491
payment_option_405,request_142,installments,227.45,6,2024-12-12,30,101.1,1364.7
payment_option_406,request_142,installments,64.23,24,2024-12-19,31,277.92,1541.52
payment_option_407,request_143,full_payment,12584,1,2025-05-07,,0,12584
payment_option_408,request_143,installments,922.83,15,2025-05-14,30,1258.45,13842.45
payment_option_409,request_144,full_payment,233.34,1,2026-07-04,,0,233.34
payment_option_410,request_144,installments,13.42,18,2026-07-18,31,8.22,241.56
payment_option_411,request_144,installments,10.21,24,2026-07-07,30,11.7,245.04
payment_option_412,request_145,installments,75365.33,3,2024-03-20,31,8695.99,226095.99
payment_option_413,request_145,full_payment,217400,1,2024-03-06,,0,217400
payment_option_414,request_145,installments,12215.81,21,2024-03-06,28,39132.01,256532.01
payment_option_415,request_146,full_payment,449400,1,2025-08-03,,0,449400
payment_option_416,request_146,installments,32956,15,2025-08-06,30,44940,494340
payment_option_417,request_146,installments,22844.5,24,2025-08-17,28,98868,548268
payment_option_418,request_147,installments,391.63,3,2026-04-08,30,45.19,1174.89
payment_option_419,request_147,full_payment,1129.7,1,2026-04-05,,0,1129.7
payment_option_420,request_147,installments,71.55,18,2026-04-12,31,158.2,1287.9
payment_option_421,request_148,installments,7710.56,3,2024-06-14,31,889.68,23131.68
payment_option_422,request_148,full_payment,22242,1,2024-06-07,,0,22242
payment_option_423,request_148,installments,1249.79,21,2024-06-21,28,4003.59,26245.59
payment_option_424,request_149,installments,12706.03,3,2025-11-18,28,1466.09,38118.09
payment_option_425,request_149,full_payment,36652,1,2025-11-04,,0,36652
payment_option_426,request_149,installments,2687.81,15,2025-11-04,30,3665.15,40317.15
payment_option_427,request_150,installments,171.98,3,2026-01-06,30,19.84,515.94
payment_option_428,request_150,full_payment,496.1,1,2026-01-06,,0,496.1
payment_option_429,request_150,installments,31.42,18,2026-01-09,31,69.46,565.56
payment_option_430,request_151,full_payment,26999000,1,2024-09-03,,0,26999000
payment_option_431,request_151,installments,1517086.67,21,2024-09-10,28,4859820.07,31858820.07
payment_option_432,request_151,installments,4859820,6,2024-09-17,30,2159920,29158920
payment_option_433,request_152,installments,4812.43,3,2025-02-12,28,555.29,14437.29
payment_option_434,request_152,full_payment,13882,1,2025-02-05,,0,13882
payment_option_435,request_152,installments,1018.01,15,2025-02-19,30,1388.15,15270.15
payment_option_436,request_153,full_payment,2830.8,1,2026-07-07,,0,2830.8
payment_option_437,request_153,installments,179.28,18,2026-07-07,31,396.24,3227.04
payment_option_438,request_154,installments,563.61,3,2024-12-04,31,65.03,1690.83
payment_option_439,request_154,full_payment,1625.8,1,2024-12-04,,0,1625.8
payment_option_440,request_154,installments,91.35,21,2024-12-07,28,292.55,1918.35
payment_option_441,request_155,full_payment,112500,1,2025-05-06,,0,112500
payment_option_442,request_155,installments,8250,15,2025-05-13,30,11250,123750
payment_option_443,request_155,installments,20250,6,2025-05-20,31,9000,121500
payment_option_444,request_156,full_payment,43076,1,2026-04-03,,0,43076
payment_option_445,request_156,installments,2728.15,18,2026-04-17,31,6030.7,49106.7
payment_option_446,request_156,installments,2189.7,24,2026-04-06,30,9476.8,52552.8
payment_option_447,request_157,full_payment,23503000,1,2024-03-05,,0,23503000
payment_option_448,request_157,installments,1320644.76,21,2024-03-05,28,4230539.96,27733539.96
payment_option_449,request_158,installments,84101.33,3,2025-08-07,28,9703.99,252303.99
payment_option_450,request_158,full_payment,242600,1,2025-08-07,,0,242600
payment_option_451,request_158,installments,17790.67,15,2025-08-10,30,24260.05,266860.05
payment_option_452,request_159,full_payment,13398,1,2026-01-04,,0,13398
payment_option_453,request_159,installments,848.54,18,2026-01-11,31,1875.72,15273.72
payment_option_454,request_160,installments,432.05,3,2024-06-13,31,49.85,1296.15
payment_option_455,request_160,full_payment,1246.3,1,2024-06-06,,0,1246.3
payment_option_456,request_160,installments,70.03,21,2024-06-20,28,224.33,1470.63
payment_option_457,request_161,full_payment,21204000,1,2025-11-03,,0,21204000
payment_option_458,request_161,installments,1554960,15,2025-11-03,30,2120400,23324400
payment_option_459,request_162,full_payment,83923000,1,2026-07-05,,0,83923000
payment_option_460,request_162,installments,5315123.33,18,2026-07-08,31,11749219.94,95672219.94
payment_option_461,request_162,installments,4266085.83,24,2026-07-19,30,18463059.92,102386059.92
payment_option_462,request_163,installments,6692053.33,3,2024-09-10,31,772159.99,20076159.99
payment_option_463,request_163,full_payment,19304000,1,2024-09-07,,0,19304000
payment_option_464,request_163,installments,1084700.95,21,2024-09-14,28,3474719.95,22778719.95
payment_option_465,request_164,installments,9366240,3,2025-02-11,28,1080720,28098720
payment_option_466,request_164,full_payment,27018000,1,2025-02-04,,0,27018000
payment_option_467,request_164,installments,1981320,15,2025-02-18,30,2701800,29719800
payment_option_468,request_165,full_payment,80600,1,2026-04-06,,0,80600
payment_option_469,request_165,installments,5104.67,18,2026-04-06,31,11284.06,91884.06
payment_option_470,request_165,installments,14508,6,2026-04-09,28,6448,87048
payment_option_471,request_166,installments,1007.97,3,2024-12-03,31,116.31,3023.91
payment_option_472,request_166,full_payment,2907.6,1,2024-12-03,,0,2907.6
payment_option_473,request_166,installments,163.38,21,2024-12-06,28,523.38,3430.98
payment_option_474,request_167,full_payment,43802,1,2025-05-05,,0,43802
payment_option_475,request_167,installments,3212.15,15,2025-05-12,30,4380.25,48182.25
payment_option_476,request_167,installments,7884.36,6,2025-05-19,31,3504.16,47306.16
payment_option_477,request_168,full_payment,49380,1,2026-01-07,,0,49380
payment_option_478,request_168,installments,17118.4,3,2026-01-14,30,1975.2,51355.2
payment_option_479,request_168,installments,13085.7,4,2026-01-10,30,2962.8,52342.8
payment_option_480,request_169,full_payment,41976,1,2024-03-04,,0,41976
payment_option_481,request_169,installments,2358.65,21,2024-03-04,28,7555.65,49531.65
payment_option_482,request_169,installments,7555.68,6,2024-03-07,30,3358.08,45334.08
payment_option_483,request_170,installments,12804480,3,2025-08-06,28,1477440,38413440
payment_option_484,request_170,full_payment,36936000,1,2025-08-06,,0,36936000
payment_option_485,request_170,installments,2708640,15,2025-08-09,30,3693600,40629600
payment_option_486,request_171,full_payment,1878.8,1,2026-07-03,,0,1878.8
payment_option_487,request_171,installments,118.99,18,2026-07-10,31,263.02,2141.82
payment_option_488,request_172,full_payment,10200,1,2024-06-05,,0,10200
payment_option_489,request_172,installments,5304,2,2024-06-05,28,408,10608
payment_option_490,request_172,installments,3604,3,2024-06-12,31,612,10812
payment_option_491,request_173,installments,39173.33,3,2025-11-21,28,4519.99,117519.99
payment_option_492,request_173,full_payment,113000,1,2025-11-07,,0,113000
payment_option_493,request_173,installments,8286.67,15,2025-11-07,30,11300.05,124300.05
payment_option_494,request_174,installments,397.35,3,2026-04-04,30,45.85,1192.05
payment_option_495,request_174,full_payment,1146.2,1,2026-04-04,,0,1146.2
payment_option_496,request_174,installments,72.59,18,2026-04-07,31,160.42,1306.62
payment_option_497,request_175,full_payment,2346.3,1,2024-09-06,,0,2346.3
payment_option_498,request_175,installments,131.84,21,2024-09-13,28,422.34,2768.64
payment_option_499,request_175,installments,422.33,6,2024-09-20,30,187.68,2533.98
payment_option_500,request_176,full_payment,1239.7,1,2025-02-03,,0,1239.7
payment_option_501,request_176,installments,90.91,15,2025-02-17,30,123.95,1363.65
payment_option_502,request_176,installments,63.02,24,2025-02-06,28,272.78,1512.48
payment_option_503,request_177,full_payment,1017.6,1,2026-01-05,,0,1017.6
payment_option_504,request_177,installments,64.45,18,2026-01-05,31,142.5,1160.1
payment_option_505,request_177,installments,183.17,6,2026-01-08,28,81.42,1099.02
payment_option_506,request_178,installments,1018.54,3,2024-12-07,31,117.52,3055.62
payment_option_507,request_178,full_payment,2938.1,1,2024-12-07,,0,2938.1
payment_option_508,request_178,installments,165.09,21,2024-12-10,28,528.79,3466.89
payment_option_509,request_179,full_payment,41648000,1,2025-05-04,,0,41648000
payment_option_510,request_179,installments,3054186.67,15,2025-05-11,30,4164800.05,45812800.05
payment_option_511,request_180,full_payment,66500,1,2026-07-06,,0,66500
payment_option_512,request_180,installments,4211.67,18,2026-07-20,31,9310.06,75810.06
payment_option_513,request_180,installments,11970,6,2026-07-06,28,5320,71820
payment_option_514,request_180,installments,3380.42,24,2026-07-09,30,14630.08,81130.08
payment_option_515,request_181,full_payment,5059.2,1,2024-03-03,,0,5059.2
payment_option_516,request_181,installments,284.28,21,2024-03-03,28,910.68,5969.88
payment_option_517,request_182,full_payment,65714,1,2025-08-05,,0,65714
payment_option_518,request_182,installments,4819.03,15,2025-08-08,30,6571.45,72285.45
payment_option_519,request_182,installments,11828.52,6,2025-08-12,31,5257.12,70971.12
payment_option_520,request_182,installments,3340.46,24,2025-08-19,28,14457.04,80171.04
payment_option_521,request_183,installments,9313546.67,3,2026-04-10,30,1074640.01,27940640.01
payment_option_522,request_183,full_payment,26866000,1,2026-04-07,,0,26866000
payment_option_523,request_183,installments,1701513.33,18,2026-04-14,31,3761239.94,30627239.94
payment_option_524,request_184,full_payment,251900,1,2024-06-04,,0,251900
payment_option_525,request_184,installments,14154.38,21,2024-06-18,28,45341.98,297241.98
payment_option_526,request_184,installments,12804.92,24,2024-06-07,31,55418.08,307318.08
payment_option_527,request_185,full_payment,1257.3,1,2025-11-06,,0,1257.3
payment_option_528,request_185,installments,92.2,15,2025-11-06,30,125.7,1383
payment_option_529,request_186,full_payment,26554,1,2026-01-03,,0,26554
payment_option_530,request_186,installments,1681.75,18,2026-01-06,31,3717.5,30271.5
payment_option_531,request_186,installments,1349.83,24,2026-01-17,30,5841.92,32395.92
payment_option_532,request_187,full_payment,187500,1,2024-09-05,,0,187500
payment_option_533,request_187,installments,10535.71,21,2024-09-12,28,33749.91,221249.91
payment_option_534,request_188,full_payment,2464,1,2025-02-07,,0,2464
payment_option_535,request_188,installments,180.69,15,2025-02-21,30,246.35,2710.35
payment_option_536,request_188,installments,125.25,24,2025-02-10,28,542,3006
payment_option_537,request_189,full_payment,488.4,1,2026-07-04,,0,488.4
payment_option_538,request_189,installments,30.93,18,2026-07-04,31,68.34,556.74
payment_option_539,request_189,installments,87.91,6,2026-07-07,28,39.06,527.46
payment_option_540,request_190,full_payment,2557.5,1,2024-12-06,,0,2557.5
payment_option_541,request_190,installments,143.71,21,2024-12-09,28,460.41,3017.91
payment_option_542,request_190,installments,130.01,24,2024-12-20,31,562.74,3120.24
payment_option_543,request_191,full_payment,664.4,1,2025-05-03,,0,664.4
payment_option_544,request_191,installments,48.72,15,2025-05-10,30,66.4,730.8
payment_option_545,request_191,installments,119.59,6,2025-05-17,31,53.14,717.54
payment_option_546,request_192,full_payment,2046,1,2026-04-05,,0,2046
payment_option_547,request_192,installments,129.58,18,2026-04-19,31,286.44,2332.44
payment_option_548,request_192,installments,104.01,24,2026-04-08,30,450.24,2496.24
payment_option_549,request_193,installments,420.23,3,2024-03-21,31,48.49,1260.69
payment_option_550,request_193,full_payment,1212.2,1,2024-03-07,,0,1212.2
payment_option_551,request_193,installments,68.11,21,2024-03-07,28,218.11,1430.31
payment_option_552,request_194,full_payment,132800,1,2025-08-04,,0,132800
payment_option_553,request_194,installments,9738.67,15,2025-08-07,30,13280.05,146080.05
payment_option_554,request_194,installments,6750.67,24,2025-08-18,28,29216.08,162016.08
payment_option_555,request_195,installments,405.74,3,2026-01-09,30,46.82,1217.22
payment_option_556,request_195,full_payment,1170.4,1,2026-01-06,,0,1170.4
payment_option_557,request_195,installments,74.13,18,2026-01-13,31,163.94,1334.34
payment_option_558,request_196,full_payment,762.3,1,2024-06-03,,0,762.3
payment_option_559,request_196,installments,42.83,21,2024-06-17,28,137.13,899.43
payment_option_560,request_196,installments,137.21,6,2024-06-03,30,60.96,823.26
payment_option_561,request_196,installments,38.75,24,2024-06-06,31,167.7,930
payment_option_562,request_197,installments,17658853.33,3,2025-11-19,28,2037559.99,52976559.99
payment_option_563,request_197,full_payment,50939000,1,2025-11-05,,0,50939000
payment_option_564,request_197,installments,3735526.67,15,2025-11-05,30,5093900.05,56032900.05
payment_option_565,request_198,full_payment,185800,1,2026-07-07,,0,185800
payment_option_566,request_198,installments,11767.33,18,2026-07-10,31,26011.94,211811.94
payment_option_567,request_198,installments,33444,6,2026-07-14,28,14864,200664
payment_option_568,request_198,installments,9444.83,24,2026-07-21,30,40875.92,226675.92
payment_option_569,request_199,installments,8206986.67,3,2024-09-07,31,946960.01,24620960.01
payment_option_570,request_199,full_payment,23674000,1,2024-09-04,,0,23674000
payment_option_571,request_199,installments,1330253.33,21,2024-09-11,28,4261319.93,27935319.93
payment_option_572,request_200,full_payment,21717000,1,2025-02-06,,0,21717000
payment_option_573,request_200,installments,1592580,15,2025-02-20,30,2171700,23888700
payment_option_574,request_200,installments,3909060,6,2025-02-06,31,1737360,23454360
payment_option_575,request_200,installments,1103947.5,24,2025-02-09,28,4777740,26494740
payment_option_576,request_201,full_payment,23997000,1,2026-04-03,,0,23997000
payment_option_577,request_201,installments,1519810,18,2026-04-03,31,3359580,27356580
payment_option_578,request_201,installments,4319460,6,2026-04-06,28,1919760,25916760
payment_option_579,request_202,full_payment,123900,1,2024-12-05,,0,123900
payment_option_580,request_202,installments,6962,21,2024-12-08,28,22302,146202
payment_option_581,request_202,installments,22302,6,2024-12-12,30,9912,133812
payment_option_582,request_202,installments,6298.25,24,2024-12-19,31,27258,151158
payment_option_583,request_203,installments,499.93,3,2025-05-10,28,57.69,1499.79
payment_option_584,request_203,full_payment,1442.1,1,2025-05-07,,0,1442.1
payment_option_585,request_203,installments,105.75,15,2025-05-14,30,144.15,1586.25
payment_option_586,request_204,full_payment,588.74,1,2026-01-04,,0,588.74
payment_option_587,request_204,installments,33.86,18,2026-01-18,31,20.74,609.48
payment_option_588,request_204,installments,25.76,24,2026-01-07,30,29.5,618.24
payment_option_589,request_205,full_payment,10621000,1,2024-03-06,,0,10621000
payment_option_590,request_205,installments,596799.05,21,2024-03-06,28,1911780.05,12532780.05
payment_option_591,request_205,installments,1911780,6,2024-03-09,30,849680,11470680
payment_option_592,request_206,installments,486.96,3,2025-08-03,28,56.18,1460.88
payment_option_593,request_206,full_payment,1404.7,1,2025-08-03,,0,1404.7
payment_option_594,request_206,installments,103.01,15,2025-08-06,30,140.45,1545.15
payment_option_595,request_207,full_payment,11830,1,2026-07-05,,0,11830
payment_option_596,request_207,installments,680.23,18,2026-07-12,31,414.14,12244.14
payment_option_597,request_208,full_payment,4413000,1,2024-06-07,,0,4413000
payment_option_598,request_208,installments,217497.86,21,2024-06-21,28,154455.06,4567455.06
payment_option_599,request_208,installments,193068.75,24,2024-06-10,31,220650,4633650
payment_option_600,request_209,full_payment,56914,1,2025-11-04,,0,56914
payment_option_601,request_209,installments,4173.69,15,2025-11-04,30,5691.35,62605.35
payment_option_602,request_210,full_payment,1360.02,1,2026-04-06,,0,1360.02
payment_option_603,request_210,installments,471.48,3,2026-04-06,28,54.42,1414.44
payment_option_604,request_210,installments,360.41,4,2026-04-11,30,81.62,1441.64
payment_option_605,request_211,full_payment,1788.6,1,2024-09-03,,0,1788.6
payment_option_606,request_211,installments,100.5,21,2024-09-10,28,321.9,2110.5
payment_option_607,request_212,full_payment,71934000,1,2025-02-05,,0,71934000
payment_option_608,request_212,installments,5275160,15,2025-02-19,30,7193400,79127400
payment_option_609,request_212,installments,3656645,24,2025-02-08,28,15825480,87759480
payment_option_610,request_213,installments,1165.63,3,2026-01-21,30,134.49,3496.89
payment_option_611,request_213,full_payment,3362.4,1,2026-01-07,,0,3362.4
payment_option_612,request_213,installments,212.95,18,2026-01-07,31,470.7,3833.1
payment_option_613,request_214,full_payment,69750,1,2024-12-04,,0,69750
payment_option_614,request_214,installments,36270,2,2024-12-04,28,2790,72540
payment_option_615,request_214,installments,24645,3,2024-12-05,31,4185,73935
payment_option_616,request_215,installments,10395.15,3,2025-05-09,28,1199.45,31185.45
payment_option_617,request_215,full_payment,29986,1,2025-05-06,,0,29986
payment_option_618,request_215,installments,2198.97,15,2025-05-13,30,2998.55,32984.55
payment_option_619,request_216,full_payment,3332.4,1,2026-07-03,,0,3332.4
payment_option_620,request_216,installments,211.05,18,2026-07-17,31,466.5,3798.9
payment_option_621,request_216,installments,169.4,24,2026-07-06,30,733.2,4065.6
payment_option_622,request_217,installments,12889.07,3,2024-03-19,31,1487.21,38667.21
payment_option_623,request_217,full_payment,37180,1,2024-03-05,,0,37180
payment_option_624,request_217,installments,2089.16,21,2024-03-05,28,6692.36,43872.36
payment_option_625,request_218,installments,21195893.33,3,2025-08-07,28,2445679.99,63587679.99
payment_option_626,request_218,full_payment,61142000,1,2025-08-07,,0,61142000
payment_option_627,request_218,installments,4483746.67,15,2025-08-10,30,6114200.05,67256200.05
payment_option_628,request_219,installments,580.01,3,2026-04-07,30,66.93,1740.03
payment_option_629,request_219,full_payment,1673.1,1,2026-04-04,,0,1673.1
payment_option_630,request_219,installments,105.96,18,2026-04-11,31,234.18,1907.28
payment_option_631,request_220,full_payment,3118.5,1,2024-06-06,,0,3118.5
payment_option_632,request_220,installments,175.23,21,2024-06-20,28,561.33,3679.83
payment_option_633,request_220,installments,158.52,24,2024-06-09,31,685.98,3804.48
payment_option_634,request_221,full_payment,109800,1,2025-11-03,,0,109800
payment_option_635,request_221,installments,8052,15,2025-11-03,30,10980,120780
payment_option_636,request_221,installments,19764,6,2025-11-06,31,8784,118584
payment_option_637,request_222,full_payment,34078,1,2026-01-05,,0,34078
payment_option_638,request_222,installments,2158.27,18,2026-01-08,31,4770.86,38848.86
payment_option_639,request_222,installments,6134.04,6,2026-01-12,28,2726.24,36804.24
payment_option_640,request_222,installments,1732.3,24,2026-01-19,30,7497.2,41575.2
payment_option_641,request_223,full_payment,898.7,1,2024-09-07,,0,898.7
payment_option_642,request_223,installments,50.5,21,2024-09-14,28,161.8,1060.5
payment_option_643,request_223,installments,161.77,6,2024-09-21,30,71.92,970.62
payment_option_644,request_224,full_payment,10327000,1,2025-02-04,,0,10327000
payment_option_645,request_224,installments,5370040,2,2025-02-04,28,413080,10740080
payment_option_646,request_224,installments,3648873.34,3,2025-02-07,28,619620.02,10946620.02
payment_option_647,request_225,installments,7647120,3,2026-07-20,30,882360,22941360
payment_option_648,request_225,full_payment,22059000,1,2026-07-06,,0,22059000
payment_option_649,request_225,installments,1397070,18,2026-07-06,31,3088260,25147260
payment_option_650,request_226,full_payment,157000,1,2024-12-03,,0,157000
payment_option_651,request_226,installments,8821.9,21,2024-12-06,28,28259.9,185259.9
payment_option_652,request_226,installments,28260,6,2024-12-10,30,12560,169560
payment_option_653,request_226,installments,7980.83,24,2024-12-17,31,34539.92,191539.92
payment_option_654,request_227,full_payment,259700,1,2025-05-05,,0,259700
payment_option_655,request_227,installments,19044.67,15,2025-05-12,30,25970.05,285670.05
payment_option_656,request_228,full_payment,63327000,1,2026-04-07,,0,63327000
payment_option_657,request_228,installments,4010710,18,2026-04-21,31,8865780,72192780
payment_option_658,request_228,installments,3219122.5,24,2026-04-10,30,13931940,77258940
payment_option_659,request_229,installments,529.29,3,2024-03-18,31,61.07,1587.87
payment_option_660,request_229,full_payment,1526.8,1,2024-03-04,,0,1526.8
payment_option_661,request_229,installments,85.79,21,2024-03-04,28,274.79,1801.59
payment_option_662,request_230,full_payment,3537.6,1,2025-08-06,,0,3537.6
payment_option_663,request_230,installments,259.42,15,2025-08-09,30,353.7,3891.3
payment_option_664,request_230,installments,636.77,6,2025-08-13,31,283.02,3820.62
payment_option_665,request_230,installments,179.83,24,2025-08-20,28,778.32,4315.92
payment_option_666,request_231,installments,12378.08,3,2026-01-06,30,1428.24,37134.24
payment_option_667,request_231,full_payment,35706,1,2026-01-03,,0,35706
payment_option_668,request_231,installments,2261.38,18,2026-01-10,31,4998.84,40704.84
payment_option_669,request_232,full_payment,1970.1,1,2024-06-05,,0,1970.1
payment_option_670,request_232,installments,110.7,21,2024-06-19,28,354.6,2324.7
payment_option_671,request_232,installments,100.15,24,2024-06-08,31,433.5,2403.6
payment_option_672,request_233,full_payment,6241000,1,2025-11-07,,0,6241000
payment_option_673,request_233,installments,3245320,2,2025-11-14,31,249640,6490640
payment_option_674,request_234,full_payment,1213.3,1,2026-07-04,,0,1213.3
payment_option_675,request_234,installments,76.84,18,2026-07-07,31,169.82,1383.12
payment_option_676,request_234,installments,61.68,24,2026-07-18,30,267.02,1480.32
payment_option_677,request_235,full_payment,967.2,1,2024-09-06,,0,967.2
payment_option_678,request_235,installments,54.35,21,2024-09-13,28,174.15,1141.35
payment_option_679,request_235,installments,174.1,6,2024-09-20,30,77.4,1044.6
payment_option_680,request_236,full_payment,52383000,1,2025-02-03,,0,52383000
payment_option_681,request_236,installments,3841420,15,2025-02-17,30,5238300,57621300
payment_option_682,request_236,installments,2662802.5,24,2025-02-06,28,11524260,63907260
payment_option_683,request_237,full_payment,23826000,1,2026-04-05,,0,23826000
payment_option_684,request_237,installments,1508980,18,2026-04-05,31,3335640,27161640
payment_option_685,request_237,installments,4288680,6,2026-04-08,28,1906080,25732080
payment_option_686,request_238,installments,230.05,3,2024-12-07,31,26.55,690.15
payment_option_687,request_238,full_payment,663.6,1,2024-12-07,,0,663.6
payment_option_688,request_238,installments,37.29,21,2024-12-10,28,119.49,783.09
payment_option_689,request_239,full_payment,642,1,2025-05-04,,0,642
payment_option_690,request_239,installments,47.08,15,2025-05-11,30,64.2,706.2
payment_option_691,request_239,installments,115.56,6,2025-05-18,31,51.36,693.36
payment_option_692,request_240,full_payment,101200,1,2026-01-06,,0,101200
payment_option_693,request_240,installments,6409.33,18,2026-01-20,31,14167.94,115367.94
payment_option_694,request_240,installments,5144.33,24,2026-01-09,30,22263.92,123463.92
payment_option_695,request_241,installments,7298026.67,3,2024-03-17,31,842080.01,21894080.01
payment_option_696,request_241,full_payment,21052000,1,2024-03-03,,0,21052000
payment_option_697,request_241,installments,1182921.9,21,2024-03-03,28,3789359.9,24841359.9
payment_option_698,request_242,full_payment,1966.8,1,2025-08-05,,0,1966.8
payment_option_699,request_242,installments,144.23,15,2025-08-08,30,196.65,2163.45
payment_option_700,request_242,installments,99.98,24,2025-08-19,28,432.72,2399.52
payment_option_701,request_243,full_payment,17468,1,2026-07-07,,0,17468
payment_option_702,request_243,installments,1106.31,18,2026-07-14,31,2445.58,19913.58
payment_option_703,request_243,installments,3144.24,6,2026-07-21,28,1397.44,18865.44
payment_option_704,request_244,full_payment,49918,1,2024-06-04,,0,49918
payment_option_705,request_244,installments,2804.92,21,2024-06-18,28,8985.32,58903.32
payment_option_706,request_244,installments,8985.24,6,2024-06-04,30,3993.44,53911.44
payment_option_707,request_244,installments,2537.5,24,2024-06-07,31,10982,60900
payment_option_708,request_245,full_payment,128500,1,2025-11-06,,0,128500
payment_option_709,request_245,installments,9423.33,15,2025-11-06,30,12849.95,141349.95
payment_option_710,request_246,installments,22216.48,3,2026-04-03,30,2563.44,66649.44
payment_option_711,request_246,full_payment,64086,1,2026-04-03,,0,64086
payment_option_712,request_246,installments,4058.78,18,2026-04-06,31,8972.04,73058.04
payment_option_713,request_247,full_payment,1059.3,1,2024-09-05,,0,1059.3
payment_option_714,request_247,installments,59.52,21,2024-09-12,28,190.62,1249.92
payment_option_715,request_247,installments,190.67,6,2024-09-19,30,84.72,1144.02
payment_option_716,request_248,full_payment,1965.6,1,2025-02-07,,0,1965.6
payment_option_717,request_248,installments,144.14,15,2025-02-21,30,196.5,2162.1
payment_option_718,request_248,installments,99.92,24,2025-02-10,28,432.48,2398.08
payment_option_719,request_249,full_payment,643.2,1,2026-01-04,,0,643.2
payment_option_720,request_249,installments,40.74,18,2026-01-04,31,90.12,733.32
payment_option_721,request_250,full_payment,124278,1,2024-12-06,,0,124278
payment_option_722,request_250,installments,6983.24,21,2024-12-09,28,22370.04,146648.04
payment_option_723,request_250,installments,6317.47,24,2024-12-20,31,27341.28,151619.28
payment_option_724,request_251,full_payment,1513.6,1,2025-05-03,,0,1513.6
payment_option_725,request_251,installments,111,15,2025-05-10,30,151.4,1665
payment_option_726,request_252,full_payment,28082000,1,2026-07-05,,0,28082000
payment_option_727,request_252,installments,1778526.67,18,2026-07-19,31,3931480.06,32013480.06
payment_option_728,request_252,installments,1427501.67,24,2026-07-08,30,6178040.08,34260040.08
payment_option_729,request_253,installments,984.6,3,2024-03-21,31,113.6,2953.8
payment_option_730,request_253,full_payment,2840.2,1,2024-03-07,,0,2840.2
payment_option_731,request_253,installments,159.59,21,2024-03-07,28,511.19,3351.39
payment_option_732,request_254,full_payment,3535.2,1,2025-08-04,,0,3535.2
payment_option_733,request_254,installments,259.25,15,2025-08-07,30,353.55,3888.75
payment_option_734,request_254,installments,179.71,24,2025-08-18,28,777.84,4313.04
payment_option_735,request_255,full_payment,3345000,1,2026-04-06,,0,3345000
payment_option_736,request_255,installments,192337.5,18,2026-04-13,31,117075,3462075
payment_option_737,request_256,installments,75816,3,2024-06-10,31,8748,227448
payment_option_738,request_256,full_payment,218700,1,2024-06-03,,0,218700
payment_option_739,request_256,installments,12288.86,21,2024-06-17,28,39366.06,258066.06
payment_option_740,request_257,full_payment,1352.4,1,2025-11-05,,0,1352.4
payment_option_741,request_257,installments,99.18,15,2025-11-05,30,135.3,1487.7
payment_option_742,request_258,full_payment,1113.6,1,2026-01-07,,0,1113.6
