user_id,home_currency,current_available_balance,minimum_balance_to_keep,financial_priorities,expense_categories_to_protect,expense_categories_user_is_willing_to_reduce,expense_categories_user_is_willing_to_stop,payment_methods_user_will_consider,max_installment_months
user_238,USD,1882.07,700,education|emergency_savings,rent|groceries|transport,gym,gym|delivery_membership,partial_payment|installments,5
user_239,USD,1988.9,600,healthcare|family_support,rent|healthcare|family_support|groceries,shopping,,full_payment|installments,6
user_240,INR,92720,52800,education|debt_repayment,rent|education|groceries|debt_repayment,dining,music_subscription|delivery_membership,partial_payment,
user_241,IDR,90172322.14,19252000,debt_repayment|emergency_savings,rent|utilities|debt_repayment,dining,music_subscription,partial_payment|installments,3
user_242,EUR,1037.4,600,education|debt_repayment,rent|education|groceries|debt_repayment,dining,music_subscription|delivery_membership,full_payment|partial_payment|installments,11
user_243,ZAR,47470.4,19900,healthcare|retirement_investment,housing|healthcare|utilities,dining|streaming,streaming,full_payment,
user_244,ZAR,126279.2,45900,education|debt_repayment,rent|education|groceries|debt_repayment,dining,delivery_membership,full_payment|partial_payment|installments,6
user_245,INR,160360,94600,emergency_savings|travel,rent|insurance|transport,dining,,full_payment|partial_payment|installments,7
user_246,ZAR,201692.06,39300,retirement_investment|emergency_savings,rent|utilities|groceries,dining|streaming|shopping,,installments,3
user_247,EUR,2819.2,1300,education|emergency_savings,rent|groceries|transport,dining|gym,gym|music_subscription,full_payment,
user_248,USD,2807.36,1300,healthcare|family_support,rent|healthcare|family_support|groceries,shopping,cloud_storage,partial_payment,
user_249,USD,942.4,600,emergency_savings|travel,rent|insurance|transport,,streaming|cloud_storage,full_payment|installments,6
user_250,ZAR,64120,35300,debt_repayment|emergency_savings,rent|utilities|debt_repayment,dining,music_subscription,partial_payment,
user_251,EUR,4648.55,1300,education|emergency_savings,rent|groceries|transport,gym,gym|delivery_membership,partial_payment|installments,11
user_252,IDR,25250700,15152200,healthcare|retirement_investment,housing|healthcare|utilities,streaming,streaming,full_payment,
user_253,EUR,4635.57,2300,emergency_savings|housing,rent|groceries|transport,dining,cloud_storage,installments,5
user_254,USD,4259.6,2500,education|family_support,housing|utilities|education,dining|entertainment,cloud_storage,full_payment|installments,4
user_255,IDR,38518150,9813900,retirement_investment|emergency_savings,rent|utilities|groceries,,,full_payment|partial_payment,
user_256,INR,394983.28,168600,education|debt_repayment,rent|education|groceries|debt_repayment,dining,music_subscription,installments,3
user_257,USD,2685.2,1600,emergency_savings|travel,rent|insurance|transport,dining|streaming|entertainment,cloud_storage,full_payment|partial_payment,
user_258,USD,2603.68,500,emergency_savings|travel,rent|insurance|transport,,cloud_storage,full_payment|partial_payment,
user_259,EUR,1269.3,600,debt_repayment|emergency_savings,rent|utilities|debt_repayment,dining,music_subscription,full_payment,
user_260,IDR,35787100,20727700,emergency_savings|travel,rent|insurance|transport,dining|shopping|entertainment,,partial_payment,
user_261,EUR,4718.96,1500,healthcare|retirement_investment,housing|healthcare|utilities,dining|streaming,streaming,full_payment,
user_262,IDR,88406100,31018500,emergency_savings|housing,rent|groceries|transport,dining|streaming|shopping,cloud_storage,full_payment|partial_payment,
user_263,ZAR,38818,24100,emergency_savings|travel,rent|insurance|transport,shopping,streaming|cloud_storage,partial_payment,
user_264,INR,104375,59500,retirement_investment|emergency_savings,rent|utilities|groceries,shopping,streaming,full_payment|partial_payment|installments,10
user_265,INR,786105,189700,education|emergency_savings,rent|groceries|transport,,gym|music_subscription|delivery_membership,full_payment|partial_payment,
user_266,EUR,2354.92,900,healthcare|family_support,rent|healthcare|family_support|groceries,,,partial_payment|installments,10
user_267,EUR,3648.98,1500,emergency_savings|travel,rent|insurance|transport,,streaming,installments,3
user_268,EUR,2912.52,1400,debt_repayment|emergency_savings,rent|utilities|debt_repayment,dining,music_subscription,installments,4
user_269,ZAR,45307.9,23100,education|debt_repayment,rent|education|groceries|debt_repayment,dining,music_subscription,full_payment|installments,10
user_270,USD,1935.4,1400,healthcare|retirement_investment,housing|healthcare|utilities,dining|streaming,,installments,7
user_271,INR,142960,58200,emergency_savings|housing,rent|groceries|transport,dining|streaming|shopping,streaming|cloud_storage,full_payment,
user_272,IDR,16324524,7508600,education|family_support,housing|utilities|education,entertainment,cloud_storage,partial_payment|installments,7
user_273,IDR,32146800,18774600,retirement_investment|emergency_savings,rent|utilities|groceries,dining|streaming,streaming|cloud_storage,partial_payment|installments,7
user_274,EUR,4847.31,1800,emergency_savings|travel,rent|insurance|transport,streaming|shopping,streaming|cloud_storage,partial_payment|installments,4
user_275,IDR,37206450,12760100,healthcare|family_support,rent|healthcare|family_support|groceries,shopping,cloud_storage,full_payment,
